id,query_id,user_id,day,carrier,price,duration,layover_hours,legs,departure_hour,arrival_hour,recent_bookings_with_carrier,booked
0,0,171,4,AS,0.381441082,0.968925783,2,1,22,17,0,0
1,0,171,4,NK,0.284933572,0.555450752,0,0,2,13,0,0
2,0,171,4,UA,0.372337818,0.933211803,2,1,9,18,0,0
3,0,171,4,NK,0.254621237,0.675644636,5,2,19,4,0,0
4,0,171,4,NK,0.496906725,0.028390518,1,0,8,6,0,0
5,0,171,4,DL,0.164263664,0.077713198,1,0,1,1,0,1
6,0,171,4,UA,0.845981292,0.722178955,1,0,15,14,0,0
7,0,171,4,UA,0.812402484,0.55456779,1,0,23,23,0,0
8,0,171,4,UA,0.476483208,0.127151665,3,2,14,13,0,0
9,0,171,4,NK,0.682183972,0.614062678,5,2,20,5,0,0
10,0,171,4,AS,0.24714507,0.810287361,3,2,0,15,0,0
11,1,336,9,UA,0.017565456,0.75298243,2,1,16,16,0,0
12,1,336,9,NK,0.49536634,0.24616246,2,1,4,14,3,0
13,1,336,9,NK,0.366327526,0.258194967,0,0,17,9,3,1
14,1,336,9,DL,0.567164546,0.967837805,0,0,14,20,0,0
15,1,336,9,AS,0.899339409,0.887404802,4,2,5,12,0,0
16,1,336,9,NK,0.775940459,0.318337314,2,1,14,24,3,0
17,1,336,9,NK,0.507562512,0.82405449,0,0,16,6,3,0
18,1,336,9,DL,0.76405559,0.16173853,1,0,22,5,0,0
19,1,336,9,AS,0.083808433,0.196841101,2,1,21,2,0,0
20,1,336,9,NK,0.128572468,0.181196054,4,2,22,10,3,0
21,1,336,9,AA,0.733204805,0.087720775,2,1,20,6,0,0
22,1,336,9,AS,0.431365456,0.854678116,4,2,13,20,0,0
23,1,336,9,DL,0.44596527,0.578806898,3,2,20,12,0,0
24,1,336,9,NK,0.246886145,0.258956092,0,0,17,1,3,0
25,1,336,9,NK,0.485885107,0.848655033,5,2,18,9,3,0
26,1,336,9,AS,0.185165045,0.802646759,1,0,4,17,0,0
27,1,336,9,AA,0.626916279,0.100951518,1,0,4,12,0,0
28,1,336,9,AA,0.173798857,0.644139374,4,2,4,8,0,0
29,1,336,9,UA,0.063826035,0.721833602,1,0,5,4,0,0
30,2,265,10,UA,0.330357689,0.715827337,2,1,10,16,0,0
31,2,265,10,DL,0.231140342,0.723142708,4,2,8,4,0,0
32,2,265,10,AS,0.888991639,0.169457786,3,2,1,21,0,0
33,2,265,10,AS,0.054953454,0.315086454,2,1,17,24,0,0
34,2,265,10,NK,0.141290954,0.844178509,3,2,10,13,0,0
35,2,265,10,NK,0.438975684,0.89839175,4,2,2,3,0,0
36,2,265,10,NK,0.384853753,0.279188887,2,1,19,16,0,0
37,2,265,10,UA,0.045852018,0.023019516,3,2,0,3,0,0
38,2,265,10,AS,0.007252428,0.859766947,5,2,13,22,0,0
39,2,265,10,AS,0.988067942,0.377091838,5,2,18,14,0,0
40,2,265,10,AA,0.6588347,0.329463556,3,2,9,19,0,0
41,2,265,10,UA,0.365406131,0.34699968,0,0,14,15,0,1
42,2,265,10,NK,0.376345798,0.415696424,4,2,1,13,0,0
43,2,265,10,UA,0.26655012,0.378266622,1,0,6,13,0,0
