id,query_id,carrier,price,duration,layover_hours,legs,departure_hour,arrival_hour,user_id,day,preferred_carrier,is_preferred_carrier,booked,recent_bookings_with_carrier
0,0.0,AS,0.3814410821056089,0.9689257827137476,2.0,1.0,22.0,17.0,171,4,,0,0,0
1,0.0,NK,0.2849335722515544,0.555450752268743,0.0,0.0,2.0,13.0,171,4,,0,0,0
2,0.0,UA,0.37233781838538105,0.9332118027415051,2.0,1.0,9.0,18.0,171,4,,0,0,0
3,0.0,NK,0.25462123689558436,0.675644635877384,5.0,2.0,19.0,4.0,171,4,,0,0,0
4,0.0,NK,0.49690672547866516,0.02839051822327643,1.0,0.0,8.0,6.0,171,4,,0,0,0
5,0.0,DL,0.16426366372062395,0.07771319804839205,1.0,0.0,1.0,1.0,171,4,,0,1,0
6,0.0,UA,0.8459812924460132,0.7221789553674229,1.0,0.0,15.0,14.0,171,4,,0,0,0
7,0.0,UA,0.8124024840313153,0.5545677903690194,1.0,0.0,23.0,23.0,171,4,,0,0,0
8,0.0,UA,0.47648320785527043,0.1271516645998757,3.0,2.0,14.0,13.0,171,4,,0,0,0
9,0.0,NK,0.6821839722228381,0.6140626783536163,5.0,2.0,20.0,5.0,171,4,,0,0,0
10,0.0,AS,0.2471450700302933,0.8102873605681962,3.0,2.0,0.0,15.0,171,4,,0,0,0
11,1.0,UA,0.017565455703966948,0.752982430132612,2.0,1.0,16.0,16.0,336,9,NK,0,0,0
12,1.0,NK,0.49536634002385843,0.246162460032067,2.0,1.0,4.0,14.0,336,9,NK,1,0,3
13,1.0,NK,0.36632752557177234,0.2581949666560439,0.0,0.0,17.0,9.0,336,9,NK,1,1,3
14,1.0,DL,0.5671645462958707,0.9678378051021137,0.0,0.0,14.0,20.0,336,9,NK,0,0,0
15,1.0,AS,0.899339409018403,0.8874048021527162,4.0,2.0,5.0,12.0,336,9,NK,0,0,0
16,1.0,NK,0.7759404588527548,0.318337314430872,2.0,1.0,14.0,24.0,336,9,NK,1,0,3
17,1.0,NK,0.5075625118044824,0.8240544896690084,0.0,0.0,16.0,6.0,336,9,NK,1,0,3
18,1.0,DL,0.7640555898524384,0.16173852973254543,1.0,0.0,22.0,5.0,336,9,NK,0,0,0
19,1.0,AS,0.08380843348716427,0.1968411013265644,2.0,1.0,21.0,2.0,336,9,NK,0,0,0
20,1.0,NK,0.1285724679132045,0.18119605384534532,4.0,2.0,22.0,10.0,336,9,NK,1,0,3
21,1.0,AA,0.7332048049529766,0.08772077501351516,2.0,1.0,20.0,6.0,336,9,NK,0,0,0
22,1.0,AS,0.43136545638800194,0.8546781161613554,4.0,2.0,13.0,20.0,336,9,NK,0,0,0
23,1.0,DL,0.4459652704044057,0.5788068982045753,3.0,2.0,20.0,12.0,336,9,NK,0,0,0
24,1.0,NK,0.2468861453083493,0.2589560924939386,0.0,0.0,17.0,1.0,336,9,NK,1,0,3
25,1.0,NK,0.48588510678219504,0.8486550327275941,5.0,2.0,18.0,9.0,336,9,NK,1,0,3
26,1.0,AS,0.1851650454162026,0.8026467593928203,1.0,0.0,4.0,17.0,336,9,NK,0,0,0
27,1.0,AA,0.6269162793138956,0.1009515181277556,1.0,0.0,4.0,12.0,336,9,NK,0,0,0
28,1.0,AA,0.17379885713523968,0.6441393737349719,4.0,2.0,4.0,8.0,336,9,NK,0,0,0
29,1.0,UA,0.0638260347097136,0.7218336015257706,1.0,0.0,5.0,4.0,336,9,NK,0,0,0
30,2.0,UA,0.330357688699061,0.7158273369859639,2.0,1.0,10.0,16.0,265,10,UA,1,0,0
31,2.0,DL,0.23114034200984768,0.7231427078539375,4.0,2.0,8.0,4.0,265,10,UA,0,0,0
32,2.0,AS,0.8889916385563323,0.16945778564903735,3.0,2.0,1.0,21.0,265,10,UA,0,0,0
33,2.0,AS,0.0549534538686266,0.31508645426876936,2.0,1.0,17.0,24.0,265,10,UA,0,0,0
34,2.0,NK,0.14129095405929828,0.8441785085044624,3.0,2.0,10.0,13.0,265,10,UA,0,0,0
35,2.0,NK,0.4389756844664396,0.8983917502275496,4.0,2.0,2.0,3.0,265,10,UA,0,0,0
36,2.0,NK,0.38485375267797894,0.2791888865648703,2.0,1.0,19.0,16.0,265,10,UA,0,0,0
37,2.0,UA,0.04585201837470154,0.02301951617775244,3.0,2.0,0.0,3.0,265,10,UA,1,0,0
38,2.0,AS,0.007252428015144474,0.8597669471661081,5.0,2.0,13.0,22.0,265,10,UA,0,0,0
39,2.0,AS,0.9880679419611499,0.3770918378250826,5.0,2.0,18.0,14.0,265,10,UA,0,0,0
40,2.0,AA,0.6588347003588382,0.32946355595993637,3.0,2.0,9.0,19.0,265,10,UA,0,0,0
41,2.0,UA,0.3654061309015568,0.34699967968862566,0.0,0.0,14.0,15.0,265,10,UA,1,1,0
42,2.0,NK,0.3763457981305931,0.4156964239676415,4.0,2.0,1.0,13.0,265,10,UA,0,0,0
43,2.0,UA,0.26655012045428694,0.3782666216549211,1.0,0.0,6.0,13.0,265,10,UA,1,0,0
